N`car_brand`model`year`price`engine`transmission`power`location`color`mileage`description
1`toyota`crown`2018`3400000`2.0`АКПП`245`Спасск-Дальний, Приморский край`белый`10000`"Таможня 18.08.2021. Автомобиль покупался с аукциона оценка 5 А
Машина соответсвует аукционому листу"
2`toyota`camry`2019`2849000`2.0`АКПП`150`Тольятти`белый`56663`Автомобиль приобретался у официального дилера, ПТС оригинал, полный комплект документов и ключей, автомобиль принят в зачет 
3`subaru `WRX STI`2017`2850000`2,5`механика`300`Челябинск `белый`54000`Идеальное состояние, обслуживали своевременно, все то строго в срок как положено, салон в идеальном состоянии комбинированный с алькантарой, кузов без дефектов
4`daewoo`Matiz`2010`184000`0.8`механика `52`Ульяновск `черный`160000`Автомобиль прошёл комплексную диагностику. Юридически проверен — не в розыске, не в угоне, не в залоге, не в кредите, свободен от штрафов. Готов к осмотру и тест-драйву!
5`mitsubishi`Lancer Evolution`2003`1600000`2.0`механика`280`Рубцовск`синий`111022` Машина вся обслужена новое сцепление колодки, все подробности по телефону
6`Volkswagen`Golf`1988`400000`1,6`АКПП`72`Иркутск`зеленый`1000`Завершенный проект, готов к ежедневным поездкам.
7`Skoda`Rapid`2022`3055000`1,4`робот`125`Красноярск`бежевый`0`Машина с салона
8`Dodge`Ram`2014`3500000`5,7`АКПП`396`Екатеринбург`черный`150000`Ram 1500, 2014г.в. Большая кабина Crew max. Акпп 8ст., 4х4, r20’, зимняя резина Nokia. Кат B/грузовой. Без пробега по ????, ЭПТС получен. Установлены пороги, выхлоп Magnaflow, тент кузова. Заменены колодки и все жидкости
9`Nissan`GT-R`2010`4500000`3,8`робот`540`Хабаровск`черный`57000`Машина как новая, идеальное состояние салона, в ремонте не нуждается, все подробности по телефону
10`Alfa Romeo`Giulia`2017`2450000`2.0`АКПП`200`Химки`белый`41000`Отличное техническое состояние. Безупречный внешний вид! Никаких вложений не требует. Только сделано большое ТО с заменой масло. Масло только селения, все заказ наряды чеки есть.
11`Dodge`Charger`2019`4550000`5,7`АКПП`381`Челябинск `черный`20000` 9 месяц 2019г без пробега по РФ из США с минимальными повреждениями ( последнее фото)версия для полиции. Dodge Charger Pursuit. 5.7 HEMI+NAG1 полный привод. Пробег 20 т км. Родные усиленные колёса и фароискатель прилогаются.5.7 полный привод доступен только в полицейской версии( усиленные тормозные диски . Суппорта. Колеса(диски и резина позволяющая прыгать по бордюрам) стальные пуленепробиваемые вставки в передние двери( 4600$) на полицейскую версию устанавливается акпп NAG1(5 G tropic Mersedes) одна из самых живучих коробок.
12`Ford`Mustang`2017`3000000`2,3`АКПП`310`Москва`черный`33100`Полностью растоможен, полный пакет документов, автомобиль готов к регистрационным действиям в МРЭО ГИБДД, самая максимальная коплектация
13`Jaguar`XJ`2008`2075000`4,2`АКПП`298`Ногинск`черный`136000`втомобиль технически в отличном состоянии . Ухоженный салон. В серьезных ДТП не участвовала. Ходовая и подвеска в отличном состоянии. Родной пробег. Самый последний выпуск этого кузова , максимальная комплектация. Юридически чист, никаких ограничений, я собственник. Комплект летней резины на дисках.
14`Land Rover`Freelander`2008`1080000`2,2`АКПП`160`Северск`белый`250000`Автомобиль в хорошем как технически так и во внешнем состоянии. В серьезных ДТП не был. Крашено заднее левое крыло. За машиной предыдущий владелец а после него и я трепетно следили. Из глобального был выполнен капитальный ремонт ГБЦ (новые клапана, направляющие, рокера), замена выпускного вала, замена насоса ТНВД, переуплотнение поддона.
15`Maybach`57`2009`4775000`5,5`АКПП`550`Москва`черный`47000`Отличное состояние, полностью обслужен, оригинальный ПТС, оригинальный пробег. Автомобиль всё время находился в одной семье. Эксклюзивный цвет. Богатая комплектация.
16`Rolls-Royce`Silver Spirit`1987`5500000`6,8`АКПП`249`Москва`белый`56000`втомобиль легенда. Состояние превосходное. Требует вмешательства лишь лакокрасочное покрытие вокруг заднего стекла. По технике без серьезных нареканий. Пробег оригинальный. Вся электрика в полном порядке. Заводится легко. Только частное использование в качестве автомобиля выходного дня. Последние 7 лет фактически в одних руках.
17`Bentley`Continental GT`2004`2500000`6.0`АКПП`560`Москва`черный`120000`По базовым параметрам - всё без нареканий. Не троит, не дымит, масло не жрет, нигде ничего не капает, не потеет. Недавно сделал большое то, так что, ничего в ближайшее время вообще не потребуется - сел и катайся в своё удовольствие.
18`Lincoln`Continental`1979`3700000`3,8`АКПП`141`Москва`черный`42536`Продаю идеально сохранившийся легендарный Lincoln Continental Town Car Cartier Edition. Машина ухоженная, в очень хорошем состоянии.
19`Maserati`Gran Turismo`2007`2670000`4,2`АКПП`405`Екатеринбург`черный`70000`Автомобиль в хорошем состоянии, в родном окрасе, покрыт керамикой, пробег в милях родной, разночтением в пробеге из за того что кто ставил в км кто в милях , после большого ТО, отполирован снаружи состояние нового авто, мотор Феррари звук и разгон впечатляющие, салон в отличном состоянии торг обмен
20`Toyota`Chaser`1997`2000000`2,5`механика`280`Москва`красный`90000`Продам машину, которая дарит эмоции и улыбку не только водителю но и всем окружающим!Без внимания вы точно не останетесь.
21`Audi`RS5`2017`6900000`2,9`АКПП`450`Краснодар `красный`27600`"Накладка на двигатель carbon
Обивка сидений перфарированная кожа Feinnappa
Проекционный дисплей
Фары Audi Matrix
Задний межосевой дифференциал
Тонирование задних стекл
Электрорегулировка сидений с памятью для водителя
Спортивная подвеска с изменением жесткости
Стайлинг пакет внешней отделки carbon
Увеличение максимальной скорости до 280 км/ч"
